臺灣 Taiwan,#genre#
TLC,http://wanjiatv.net/Smart.php?id=Tlc
TLC Asia,http://wanjiatv.net/Smart.php?id=tlc_twn
亞洲美食,http://wanjiatv.net/Smart.php?id=afc_twn
美食星球,http://wanjiatv.net/Smart.php?id=foodplanet_twn
新聞 News,#genre#
ABC News,http://wanjiatv.net/Smart.php?id=abcnews_glo
Al-Jazeera,http://wanjiatv.net/Smart.php?id=aljazeera_twn
BBC World News,http://wanjiatv.net/Smart.php?id=Bbcnews
BBC World News,http://wanjiatv.net/Smart.php?id=bbcnews_twn
Bloomberg News,http://wanjiatv.net/Smart.php?id=bloomberg_twn
CBS HD,http://wanjiatv.net/Smart.php?id=cbshd_glo
CBSN HD,http://wanjiatv.net/Smart.php?id=cbsn_glo
CGTN,http://wanjiatv.net/Smart.php?id=CGTN
CNA,http://wanjiatv.net/Smart.php?id=cna
CNBC,http://wanjiatv.net/Smart.php?id=cnbc_twn
CNN International,http://wanjiatv.net/Smart.php?id=Cnn
CNN(備用),http://wanjiatv.net/Smart.php?id=cnn_twn
DW (Deutsch),http://wanjiatv.net/Smart.php?id=dw_twn
Fox News,http://wanjiatv.net/Smart.php?id=foxnews_twn
France 24,http://wanjiatv.net/Smart.php?id=france24_twn
NHK World,http://wanjiatv.net/Smart.php?id=nhkworld_japan
Skynews,http://wanjiatv.net/Smart.php?id=skynews_antik
東森財經新聞,http://wanjiatv.net/Smart.php?id=ettvcaijing_twn
兒童 Kids,#genre#
Animax,http://wanjiatv.net/Smart.php?id=Animax
Baby TV Eng,http://wanjiatv.net/Smart.php?id=Babytv
Baby TV,http://wanjiatv.net/Smart.php?id=babytv_twn
Boomerang Taiwan,http://wanjiatv.net/Smart.php?id=boomerang_twn
Boomerang,http://wanjiatv.net/Smart.php?id=Boomerang
CBeebies,http://wanjiatv.net/Smart.php?id=Cbeebies
Cartoon Network,http://wanjiatv.net/Smart.php?id=Cn
Disney Taiwan,http://wanjiatv.net/Smart.php?id=disneytwn_twn
Kids TV,http://wanjiatv.net/Smart.php?id=KidsTV
MiaoMi,http://wanjiatv.net/Smart.php?id=MiaoMi
Momo TV,http://wanjiatv.net/Smart.php?id=momo1_twn
Nick Jr,http://wanjiatv.net/Smart.php?id=Nickjr
Nickelodeon,http://wanjiatv.net/Smart.php?id=Nickelodeon
東森幼幼 Yoyo TV,http://wanjiatv.net/Smart.php?id=yoyo_twn
靖天卡通台,http://wanjiatv.net/Smart.php?id=jingtiancartoon_twn
泰國 Thailand,#genre#
Amarin,http://wanjiatv.net/Smart.php?id=amarin_pat
Ch 8,http://wanjiatv.net/Smart.php?id=ch8_pat
Channel 3 Thailand,http://wanjiatv.net/Smart.php?id=ch3_pat
Channel 5 Thailand,http://wanjiatv.net/Smart.php?id=ch5_pat
Channel 7 Thailand,http://wanjiatv.net/Smart.php?id=ch7_pat
Gmm Channel,http://wanjiatv.net/Smart.php?id=gmmchannel_pat
GmmOne,http://wanjiatv.net/Smart.php?id=gmmone_pat
MCOT HD Thailand-1,http://wanjiatv.net/Smart.php?id=mcot_pat
Mono,http://wanjiatv.net/Smart.php?id=mono_pat
Nation,http://wanjiatv.net/Smart.php?id=nation_pat
Nbt,http://wanjiatv.net/Smart.php?id=nbt_pat
New,http://wanjiatv.net/Smart.php?id=new_pat
PPTV Thailand1,http://wanjiatv.net/Smart.php?id=pptv_pat
TPTV,http://wanjiatv.net/Smart.php?id=tptv_pat
Thai Thai,http://wanjiatv.net/Smart.php?id=thaithai_pat
Thairath,http://wanjiatv.net/Smart.php?id=thairath_pat
Tnn24,http://wanjiatv.net/Smart.php?id=tnn24_pat
Workpoint,http://wanjiatv.net/Smart.php?id=workpoint_pat
tpbs,http://wanjiatv.net/Smart.php?id=tpbs_pat
英國 United Kingdom,#genre#
Al-Jazeera,http://wanjiatv.net/Smart.php?id=aljazeera_twn
Animal Planet (Eng),http://wanjiatv.net/Smart.php?id=AnimalPlanet
Axn HD,http://wanjiatv.net/Smart.php?id=Axn
BBC 1,http://wanjiatv.net/Smart.php?id=bbc1_antik
BBC 2,http://wanjiatv.net/Smart.php?id=bbc2_antik
BBC Earth HD,http://wanjiatv.net/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://wanjiatv.net/Smart.php?id=bbclifestyle_twn
BBC World News,http://wanjiatv.net/Smart.php?id=bbcworldnews_antik
Bloomberg News,http://wanjiatv.net/Smart.php?id=bloomberg_twn
Boomerang,http://wanjiatv.net/Smart.php?id=Boomerang
CBBC,http://wanjiatv.net/Smart.php?id=cbbc_antik
CBeebies,http://wanjiatv.net/Smart.php?id=Cbeebies
CGTN,http://wanjiatv.net/Smart.php?id=CGTN
CNBC,http://wanjiatv.net/Smart.php?id=cnbc_twn
Channel 4,http://wanjiatv.net/Smart.php?id=channel4_antik
DW (Deutsch),http://wanjiatv.net/Smart.php?id=dw_twn
Euronews,http://wanjiatv.net/Smart.php?id=euronews_antik
France 24,http://wanjiatv.net/Smart.php?id=france24_twn
Freesports,http://wanjiatv.net/Smart.php?id=freesports_antik
HBO HD,http://wanjiatv.net/Smart.php?id=Hbo
HGTV,http://wanjiatv.net/Smart.php?id=HGTV
History,http://wanjiatv.net/Smart.php?id=History
Hits Movie,http://wanjiatv.net/Smart.php?id=Hitsmovie
Kids TV,http://wanjiatv.net/Smart.php?id=KidsTV
MTV Live,http://wanjiatv.net/Smart.php?id=mtvhd_twn
More4,http://wanjiatv.net/Smart.php?id=more4_antik
NHK World,http://wanjiatv.net/Smart.php?id=nhkworld_japan
NatGeo HD,http://wanjiatv.net/Smart.php?id=Natgeo
NatGeo Wild HD,http://wanjiatv.net/Smart.php?id=Natgeowild
Nick Jr,http://wanjiatv.net/Smart.php?id=Nickjr
Nickelodeon,http://wanjiatv.net/Smart.php?id=Nickelodeon
Pick TV,http://wanjiatv.net/Smart.php?id=picktv_antik
Skynews,http://wanjiatv.net/Smart.php?id=skynews_antik
Skysports Arena,http://wanjiatv.net/Smart.php?id=tiankongarena
Skysports Cricket,http://wanjiatv.net/Smart.php?id=tiankongcricket
Skysports EPL,http://wanjiatv.net/Smart.php?id=tiankongepl
Skysports F1,http://wanjiatv.net/Smart.php?id=tiankongf1
Skysports Football,http://wanjiatv.net/Smart.php?id=tiankongfootball
Skysports Golf,http://wanjiatv.net/Smart.php?id=tiankonggolf
Skysports Main Event,http://wanjiatv.net/Smart.php?id=tiankongmain
Skysports News,http://wanjiatv.net/Smart.php?id=tiankongnews
Star Movies HD,http://wanjiatv.net/Smart.php?id=starmovies_raj
TLC,http://wanjiatv.net/Smart.php?id=Tlc
Thrill,http://wanjiatv.net/Smart.php?id=Thrill
Warner TV,http://wanjiatv.net/Smart.php?id=WarnerTV
itv 1,http://wanjiatv.net/Smart.php?id=itv1_antik
itv 2,http://wanjiatv.net/Smart.php?id=itv2_antik
越南 Vietnam,#genre#
ANTV,http://wanjiatv.net/Smart.php?id=viet_antv
BPTV 2,http://wanjiatv.net/Smart.php?id=viet_bptv2
BRT HD,http://wanjiatv.net/Smart.php?id=viet_brt
Ca Mau TV,http://wanjiatv.net/Smart.php?id=viet_camautv
Danang TV1 HD,http://wanjiatv.net/Smart.php?id=viet_danangtv1
Danang TV2 HD,http://wanjiatv.net/Smart.php?id=viet_danangtv2
HBTV HD,http://wanjiatv.net/Smart.php?id=viet_hbtv
HTV 7,http://wanjiatv.net/Smart.php?id=viet_htv7
HTV 9,http://wanjiatv.net/Smart.php?id=viet_htv9
PTTH 1,http://wanjiatv.net/Smart.php?id=viet_ptth1
VTV 1,http://wanjiatv.net/Smart.php?id=viet_vtv1
VTV 7,http://wanjiatv.net/Smart.php?id=viet_vtv7
韓國 Korea,#genre#
All the Kpop,http://wanjiatv.net/Smart.php?id=allthekpop_korea
Apps TV,http://wanjiatv.net/Smart.php?id=appongoogle_korea
Arirang HD,http://wanjiatv.net/Smart.php?id=arirang_korea
CBS,http://wanjiatv.net/Smart.php?id=cbs_korea
CGNTV,http://wanjiatv.net/Smart.php?id=cgntv_korea
EBS 1,http://wanjiatv.net/Smart.php?id=ebs1_korea
EBS Kids,http://wanjiatv.net/Smart.php?id=ebskids_korea
EBS Plus2,http://wanjiatv.net/Smart.php?id=ebsplus2_korea
EBS2,http://wanjiatv.net/Smart.php?id=ebs2_korea
J the Kpop,http://wanjiatv.net/Smart.php?id=jthekpop_korea
KBS World 24,http://wanjiatv.net/Smart.php?id=kbsworld24_korea
SBS Plus,http://wanjiatv.net/Smart.php?id=sbsplus_korea
YTN DMB,http://wanjiatv.net/Smart.php?id=ytndmb_korea
YTN Korean,http://wanjiatv.net/Smart.php?id=ytnkorean_korea
YTN Science,http://wanjiatv.net/Smart.php?id=ytnscience_korea
YTN,http://wanjiatv.net/Smart.php?id=ytn_korea
Yonhap News,http://wanjiatv.net/Smart.php?id=yonhapnews_korea
日本 Japan,#genre#
BS-TBS,http://wanjiatv.net/Smart.php?id=bstbs_japan
BSジャパン 181,http://wanjiatv.net/Smart.php?id=bs181_japan
BSフジ BS Fuji,http://wanjiatv.net/Smart.php?id=bsfuji_japan
CNA Japan,http://wanjiatv.net/Smart.php?id=cna_japan
JET 綜合,http://wanjiatv.net/Smart.php?id=jettv_japan
NHK Oaska,http://wanjiatv.net/Smart.php?id=nhkosaka_japan
NHK World,http://wanjiatv.net/Smart.php?id=nhkworld_japan
NHK-E,http://wanjiatv.net/Smart.php?id=nhke_japan
NHK-総合-2,http://wanjiatv.net/Smart.php?id=nhkg_japan
NHKBS1,http://wanjiatv.net/Smart.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://wanjiatv.net/Smart.php?id=nhkpremium_japan
TOKYOMX,http://wanjiatv.net/Smart.php?id=tokyomx_japan
テレビ朝日 Asahi TV,http://wanjiatv.net/Smart.php?id=asahitv_japan
テレビ東京 Tokyo TV,http://wanjiatv.net/Smart.php?id=tokyotv_japan
